id,user_id,car_id,created_date,state_id
1,1,3,2025-09-01,2
2,5,1,2025-08-15,1
3,12,8,2025-07-22,2
4,23,4,2025-09-10,1
5,34,6,2025-06-30,2
6,45,9,2025-09-05,3
7,18,2,2025-08-28,1
8,29,7,2025-07-18,2
9,7,10,2025-09-03,2
10,41,5,2025-08-25,1
11,1,1,2025-09-17,1
12,1,1,2025-09-17,1
13,1,1,2025-09-19,1
14,1,1,2025-09-20,1
15,1,1,2025-09-20,1
16,1,1,2025-09-20,1
17,113,83,2025-01-04,2
18,36,37,2025-03-14,3
19,171,48,2024-09-30,2
20,136,9,2024-10-25,2
21,147,81,2025-08-26,2
22,44,78,2025-02-19,2
23,38,27,2025-05-24,1
24,25,87,2025-03-23,2
25,173,43,2024-09-29,2
26,4,41,2024-11-10,2
27,8,76,2024-12-06,3
28,70,12,2025-08-19,3
29,56,45,2025-03-03,1
30,130,14,2024-10-23,1
31,173,89,2025-05-04,3
32,25,42,2025-07-16,3
33,54,86,2025-06-07,2
34,171,83,2025-02-20,3
35,78,20,2025-04-17,2
36,53,56,2024-12-02,1
37,47,42,2025-02-16,1
38,4,67,2025-04-06,3
39,140,63,2024-12-08,2
40,4,69,2024-11-08,1
41,49,57,2025-07-29,2
42,75,7,2025-01-01,3
43,140,67,2024-10-16,1
44,59,33,2025-02-09,1
45,35,76,2025-03-18,1
46,57,49,2025-06-29,3
47,191,67,2025-08-24,1
48,97,88,2025-02-09,2
49,58,97,2024-10-30,3
50,121,52,2025-09-03,2
51,137,24,2024-11-21,2
52,141,31,2025-02-23,3
53,133,4,2025-06-28,1
54,165,78,2025-01-31,3
55,117,41,2024-12-08,2
56,20,77,2024-09-22,2
57,157,79,2025-01-05,1
58,179,97,2025-08-16,2
59,104,52,2025-02-04,1
60,29,68,2025-06-24,2
61,133,94,2024-12-19,3
62,177,4,2024-10-08,2
63,74,30,2025-07-24,1
64,137,89,2025-04-13,2
65,88,96,2024-11-03,3
66,86,42,2024-12-10,3
67,133,7,2024-10-09,3
68,56,81,2024-11-03,3
69,192,71,2025-05-23,2
70,172,22,2025-07-03,3
71,18,94,2025-03-31,2
72,46,98,2025-01-13,3
73,85,81,2025-01-09,3
74,12,8,2025-04-01,1
75,56,54,2025-05-29,3
76,145,11,2025-04-08,3
77,18,60,2025-08-23,2
78,113,63,2024-10-14,2
79,139,89,2024-12-24,3
80,146,7,2024-11-29,3
81,178,36,2025-03-12,1
82,105,64,2024-11-12,3
83,126,92,2025-07-23,1
